Date,Location,Opponent,Number,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS
2018-11-08,H,CSU Fullerton,4,"Melgoza, Amber",*,25,5-13,1-5,7-8,0-5,5,2,1,0,0,2,18
2018-11-08,H,CSU Fullerton,1,"Johnson, Hannah",*,28,7-15,0-4,2-2,3-7,10,1,2,4,0,1,16
2018-11-08,H,CSU Fullerton,44,"Peterson, Missy",*,21,4-7,1-2,0-0,0-2,2,5,2,2,0,2,9
2018-11-08,H,CSU Fullerton,20,"Rooks, Khayla",*,23,2-7,1-5,2-2,1-5,6,0,4,1,0,0,7
2018-11-08,H,CSU Fullerton,24,"Moser, Jenna",*,23,0-2,0-0,0-2,2-1,3,1,1,1,0,1,0
2018-11-08,H,CSU Fullerton,15,"Van Dyke, Haley",,18,6-9,0-2,0-0,0-3,3,2,1,1,0,0,12
2018-11-08,H,CSU Fullerton,3,"Henson, Mai-Loni",,31,4-9,2-4,0-0,3-3,6,2,3,2,0,0,10
2018-11-08,H,CSU Fullerton,25,"Watkins, T.T.",,14,2-6,1-1,2-2,2-1,3,3,1,0,0,2,7
2018-11-08,H,CSU Fullerton,53,"Rees, Darcy",,14,2-6,0-1,0-0,0-1,1,0,0,0,1,0,4
2018-11-08,H,CSU Fullerton,12,"Hagstrom, Montana",,3,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0
2018-11-08,H,CSU Fullerton,35,"Griggsby, Alexis",,0,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0
2018-11-11,H,N Arizona,4,"Melgoza, Amber",*,31,8-17,0-3,4-4,0-10,10,2,8,3,0,3,20
2018-11-11,H,N Arizona,1,"Johnson, Hannah",*,23,5-8,0-0,2-2,2-4,6,0,0,1,0,1,12
2018-11-11,H,N Arizona,44,"Peterson, Missy",*,17,4-5,2-3,0-1,1-0,1,2,1,3,0,0,10
2018-11-11,H,N Arizona,3,"Henson, Mai-Loni",*,26,3-11,0-3,0-0,1-3,4,1,1,3,0,2,6
2018-11-11,H,N Arizona,24,"Moser, Jenna",*,26,1-3,1-2,2-2,0-1,1,1,1,3,0,1,5
2018-11-11,H,N Arizona,20,"Rooks, Khayla",,22,4-8,0-2,4-5,3-2,5,4,1,4,1,0,12
2018-11-11,H,N Arizona,25,"Watkins, T.T.",,17,4-5,1-1,3-3,2-0,2,4,1,3,0,3,12
2018-11-11,H,N Arizona,15,"Van Dyke, Haley",,20,1-5,0-1,0-0,2-4,6,1,2,1,0,0,2
2018-11-11,H,N Arizona,53,"Rees, Darcy",,14,1-2,0-1,0-0,2-1,3,2,0,0,0,1,2
2018-11-11,H,N Arizona,12,"Hagstrom, Montana",,4,0-0,0-0,0-0,1-0,1,0,0,0,0,0,0
2018-11-11,H,N Arizona,35,"Griggsby, Alexis",,0,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0
2018-11-18,A,Tulane,4,"Melgoza, Amber",*,23,4-15,0-3,5-8,6-3,9,1,2,3,0,2,13
